id,event,date,odds,stake,bet_type,outcome,sport,league,result,notes,confidence_scale,total_bets,created_at
357,"Notthingham forest-Mancity, Lingviston-Celtic",2025.12.27,2.23,5482.0,1X2,won,Football,Mixed League,"1-2,2-4","Cash out volt az eredeti odds 2,31 volt.",8,2,2025-12-28T18:18:39.467355
358,"Antwerpen-Waregnem, Parma-Fiorentina",2025.12.27,4.22,5000.0,1X2,Lost,Football,Mixed League,"2-1,1-0",Rohadt lilák elvitték..,8,2,2025-12-28T15:17:39.753135
359,Bari-Avellino,2025.12.27,2.57,7000.0,1X2,Lost,Football,Seria A,1-1,Eléggé biztos voltam benne pedig..,10,1,2025-12-28T15:17:39.753153
356,"Manutd-Newcastle, Millwall-Ipswich town, Egyiptom-Délafrika, Modena-Monza",2025.12.26,29.13,9900.0,Yankee,Lost,Football,Mixed League,"1-0, 0-0, 1-0, 2-1",Először próbáltam ezt a Yeankee-t.. 1 jött csak be belőle..,7,4,2025-12-28T15:17:39.753171
355,"Kamerun-Gabon, Elefántcsontpart-Mozambik, Samsunspor-Eyuspor",2025.12.24,28.17,400.0,1X2,Lost,Football,Mixed League,"1-0,1-0,2-1",,6,3,2025-12-28T15:17:39.753185
353,Kongó-Benin,2025.12.23,3.33,4000.0,1X2,Lost,Football,World Cup qualification,1-0,,6,1,2025-12-28T15:17:39.753198
352,"Egyiptom-Zimbabwe, Panseraikos-Levandiakos",2025.12.22,2.14,10000.0,1X2,Won,Football,Mixed leagues,"0-2, 2-1",Necces volt..,8,1,2025-12-28T15:17:39.753214
349,"Celtic-Aberdeen, Uhtrecht-PSV",2025.12.21,2.33,10000.0,1X2,Won,Football,Mixed leagues,"3-1, 1-2",,10,1,2025-12-28T15:17:39.753231
350,"újpest-Barcika, Entella-Tirol, Volendam-Sparta rotterdam",2025.12.21,4.87,5000.0,1X2,Won,Football,Mixed leagues,"2-1, 1-1, 0-1",,7,1,2025-12-28T15:17:39.753247
351,"DVSC-Kisvárda, Volendam-Sparta Rotterdam",2025.12.21,4.72,5000.0,1X2,Lost,Football,Mixed leagues,"0-1, 0-1",debrecen..,8,1,2025-12-28T15:17:39.753262
348,"Paks-Nyíregyháza, Mancity-Westham",2025.12.20,2.04,10000.0,1X2,Won,Football,Mixed leagues,"2-1, 3-0",,10,1,2025-12-28T15:17:39.753275
347,"DVTK-FTC,Dortmund-Mönthengladbah",2025.12.19,2.23,10000.0,1X2,Won,Football,Mixed leagues,"0-1, 2-0",,10,1,2025-12-28T15:17:39.753291
343,"Roma-Como, Porto-Amadora",2025.12.15,3.73,3000.0,1X2,Lost,Football,Mixed leagues,"1-0,3-1",,8,1,2025-12-28T15:17:39.753306
344,"Porto-Amadora, Sheffield-Derby Country",2025.12.15,3.99,3000.0,1X2,Lost,Football,Mixed leagues,"3-1, 0-3",,8,1,2025-12-28T15:17:39.753317
345,"Rayo-Betis, Porto-Amadora",2025.12.15,3.34,3000.0,1X2,Lost,Football,Mixed leagues,"0-0, 3-1",,8,1,2025-12-28T15:17:39.753325
346,Manutd-Bormouth,2025.12.15,4.3,3000.0,1X2,Won,Football,Premier League,4-4,,8,1,2025-12-28T15:17:39.753332
338,"Palace-Man city, Milan-Sassuolo",2025.12.14,2.86,5000.0,1X2,Lost,Football,Mixed leagues,"0-3, 2-2",,8,1,2025-12-28T15:17:39.753340
339,"Milan-Sassuolo, Lens-Nice, Panaitikolos-Athen",2025.12.14,3.25,5000.0,1X2,Lost,Football,Mixed leagues,"2-2, 2-0, 0-5",Milan tudható volt..,6,1,2025-12-28T15:17:39.753347
340,"Kisvárda-ZTE, Westham-Aston villa",2025.12.14,5.95,2200.0,1X2,Lost,Football,Mixed leagues,"3-3, 2-3",,8,1,2025-12-28T15:17:39.753354
341,"FTC-DVSC, Chaerloi-Royal",2025.12.14,4.37,5000.0,1X2,Lost,Football,Mixed leagues,"0-1, 1-1",,8,1,2025-12-28T15:17:39.753361
342,"Chaerloi-Union, Morerise-Benfica",2025.12.14,2.67,5000.0,1X2,Lost,Football,Mixed leagues,"1-1,0-4",,8,1,2025-12-28T15:17:39.753368
